,obj_value
0,-2.38E-06
1,0.032445431
2,0.078918457
3,0.144158363
4,0.184170246
5,0.178402424
6,0.170697212
7,0.201823235
8,0.179582596
9,0.159510136
10,0.130784035
11,0.127479553
12,0.167719364
13,0.178262234
14,0.176002502
15,0.182906628
16,0.216435432
17,0.267196178
18,0.236516476
19,0.251315594
20,0.252323151
21,0.263703346
22,0.249198437
23,0.252580643
24,0.255280972
25,0.247974873
26,0.249464035
27,0.247104645
28,0.241136551
29,0.241879463
30,0.23553896
31,0.233897209
32,0.239041328
33,0.230656624
34,0.227133751
35,0.2235322
36,0.209786892
37,0.215943336
38,0.213376522
39,0.220006943
40,0.216778278
41,0.215622425
42,0.210819721
43,0.213361263
44,0.217483521
45,0.219099045
46,0.2207551
47,0.219303131
48,0.217662811
49,0.213845253
50,0.21851778
51,0.208395958
52,0.207845688
53,0.213173389
54,0.219080925
55,0.216134071
56,0.206864357
57,0.215190887
58,0.218802452
59,0.27244997
60,0.270434856
61,0.187746048
62,0.186085224
63,0.180428505
64,0.197016239
65,0.206385612
66,0.151501179
67,0.241176605
68,0.232004642
69,0.227861881
70,0.191476345
71,0.158754826
72,0.167703152
73,0.151925564
74,0.176381111
75,0.201115131
76,0.199914932
77,0.186488628
78,0.211046696
79,0.217557907
80,0.208278179
81,0.185341835
82,0.165512085
83,0.17509079
84,0.163412571
85,0.176398754
86,0.203428745
87,0.212421894
88,0.20859623
89,0.170283794
90,0.175721169
91,0.146521568
92,0.162093639
93,0.175810814
94,0.173899174
95,0.172195435
96,0.14419508
97,0.161583424
98,0.122380257
99,0.138883114
100,0.142226219
101,0.076797009
102,0.08822155
103,0.068232059
104,0.070230007
105,0.071089745
106,0.095053196
107,0.096741199
108,0.083184242
109,0.088308811
110,0.084159851
111,0.126935959
112,0.127032757
113,0.126448154
114,0.123369217
115,0.133220673
116,0.133226871
117,0.13312912
118,0.133070469
119,0.132955074
120,0.132921219
121,0.132977009
122,0.133068085
123,0.133211136
124,0.133159161
125,0.133097172
126,0.133080482
127,0.133674145
128,0.133622646
129,0.133682728
130,0.133684158
131,0.133609772
132,0.133520126
