,violate
0,-2.38E-06
1,0.005701065
2,0.00836134
3,0.015039921
4,0.024662018
5,0.033976555
6,0.038636208
7,0.04012394
8,0.034609318
9,0.039132595
10,0.045647621
11,0.051372528
12,0.050263882
13,0.065333366
14,0.069237709
15,0.068106174
16,0.074245453
17,0.071369171
18,0.084631443
19,0.086818218
20,0.064277172
21,0.053672791
22,0.049598217
23,0.05463171
24,0.045969486
25,0.042664528
26,0.047451496
27,0.057034969
28,0.060900688
29,0.066121578
30,0.06996727
31,0.06867218
32,0.071780205
33,0.078501701
34,0.081685066
35,0.071912766
36,0.078205585
37,0.092704773
38,0.103109837
39,0.105144978
40,0.105475426
41,0.117622375
42,0.125076771
43,0.127034187
44,0.133065224
45,0.141445637
46,0.149839401
47,0.15874958
48,0.15743351
49,0.162478447
50,0.171584129
51,0.171741962
52,0.175801277
53,0.177495003
54,0.188548088
55,0.182685375
56,0.186084747
57,0.18565464
58,0.172460079
59,0.15177536
60,0.142252922
61,0.144451618
62,0.142492294
63,0.148295879
64,0.151772976
65,0.151427746
66,0.146454334
67,0.154634476
68,0.154628754
69,0.155499458
70,0.162070274
71,0.165164471
72,0.154891014
73,0.160001755
74,0.158060074
75,0.146695137
76,0.170952797
77,0.182533741
78,0.179698467
79,0.171342373
80,0.177965641
81,0.180336475
82,0.180683136
83,0.168069363
84,0.162141323
85,0.173102856
86,0.175492287
87,0.175614834
88,0.177230835
89,0.175620079
90,0.176137447
91,0.175734997
92,0.175496578
93,0.176967621
94,0.176762104
95,0.172520638
96,0.174197197
97,0.185155392
98,0.183588028
99,0.183425903
100,0.186346531
101,0.189660072
102,0.188957691
103,0.197954178
104,0.192014694
105,0.198858261
106,0.19998312
107,0.201247692
108,0.20598793
109,0.204070091
110,0.199392796
111,0.204661369
112,0.201678753
113,0.197807312
114,0.197389603
115,0.202188492
116,0.210102081
117,0.209515572
118,0.224911213
119,0.223832607
120,0.226906776
121,0.228460789
122,0.227074146
123,0.22705698
124,0.224898815
125,0.22508049
126,0.234701157
127,0.237062931
128,0.238160133
129,0.234070301
130,0.237505436
131,0.222743988
132,0.212013245
133,0.213531017
134,0.212280273
135,0.214476585
136,0.218343258
137,0.218788624
138,0.223176956
139,0.226080418
140,0.223453045
141,0.216029167
142,0.210888863
