,obj_value
0,tensor(0.0009)
1,tensor(0.0061)
2,tensor(0.0071)
3,tensor(0.0080)
4,tensor(0.0170)
5,tensor(0.0225)
6,tensor(0.0192)
7,tensor(0.0189)
8,tensor(0.0179)
9,tensor(0.0206)
10,tensor(0.0259)
11,tensor(0.0257)
12,tensor(0.0295)
13,tensor(0.0239)
14,tensor(0.0348)
15,tensor(0.0218)
16,tensor(0.0241)
17,tensor(0.0235)
18,tensor(0.0179)
19,tensor(0.0199)
20,tensor(0.0218)
21,tensor(0.0267)
22,tensor(0.0280)
23,tensor(0.0342)
24,tensor(0.0300)
25,tensor(0.0293)
26,tensor(0.0321)
27,tensor(0.0241)
28,tensor(0.0340)
29,tensor(0.0254)
30,tensor(0.0246)
31,tensor(0.0297)
32,tensor(0.0404)
33,tensor(0.0409)
34,tensor(0.0360)
35,tensor(0.0353)
36,tensor(0.0381)
37,tensor(0.0435)
38,tensor(0.0430)
39,tensor(0.0358)
40,tensor(0.0415)
41,tensor(0.0408)
42,tensor(0.0360)
43,tensor(0.0505)
44,tensor(0.0608)
45,tensor(0.0618)
46,tensor(0.0615)
47,tensor(0.0726)
48,tensor(0.0638)
49,tensor(0.0675)
50,tensor(0.0664)
51,tensor(0.0627)
52,tensor(0.0570)
53,tensor(0.0553)
54,tensor(0.0422)
55,tensor(0.0564)
56,tensor(0.0569)
57,tensor(0.0542)
58,tensor(0.0469)
59,tensor(0.0477)
60,tensor(0.0472)
61,tensor(0.0557)
62,tensor(0.0552)
63,tensor(0.0634)
64,tensor(0.0590)
65,tensor(0.0567)
66,tensor(0.0582)
67,tensor(0.0538)
68,tensor(0.0543)
69,tensor(0.0461)
70,tensor(0.0460)
71,tensor(0.0503)
72,tensor(0.0420)
73,tensor(0.0486)
74,tensor(0.0528)
75,tensor(0.0589)
76,tensor(0.0620)
77,tensor(0.0717)
78,tensor(0.0387)
79,tensor(0.0225)
80,tensor(0.0202)
81,tensor(0.0213)
82,tensor(0.0234)
83,tensor(0.0243)
84,tensor(0.0217)
85,tensor(0.0238)
86,tensor(0.0261)
87,tensor(0.0268)
88,tensor(0.0278)
89,tensor(0.0292)
90,tensor(0.0298)
91,tensor(0.0264)
92,tensor(0.0159)
93,tensor(0.0192)
94,tensor(0.0211)
95,tensor(0.0206)
96,tensor(0.0206)
97,tensor(0.0198)
98,tensor(0.0292)
99,tensor(0.0298)
100,tensor(0.0309)
101,tensor(0.0293)
102,tensor(0.0325)
103,tensor(0.0310)
104,tensor(0.0219)
105,tensor(0.0193)
106,tensor(0.0224)
107,tensor(0.0231)
108,tensor(0.0250)
109,tensor(0.0253)
110,tensor(0.0242)
111,tensor(0.0274)
112,tensor(0.0414)
113,tensor(0.0447)
114,tensor(0.0483)
115,tensor(0.0468)
116,tensor(0.0423)
117,tensor(0.0396)
118,tensor(0.0337)
119,tensor(0.0392)
120,tensor(0.0415)
121,tensor(0.0342)
122,tensor(0.0414)
123,tensor(0.0474)
124,tensor(0.0471)
125,tensor(0.0525)
126,tensor(0.0514)
127,tensor(0.0539)
128,tensor(0.0515)
129,tensor(0.0439)
130,tensor(0.0438)
131,tensor(0.0453)
132,tensor(0.0359)
133,tensor(0.0370)
134,tensor(0.0279)
135,tensor(0.0284)
136,tensor(0.0322)
137,tensor(0.0287)
138,tensor(0.0380)
139,tensor(0.0313)
140,tensor(0.0352)
141,tensor(0.0198)
142,tensor(0.0196)
143,tensor(0.0224)
144,tensor(0.0259)
145,tensor(0.0287)
146,tensor(0.0248)
147,tensor(0.0298)
148,tensor(0.0292)
149,tensor(0.0288)
150,tensor(0.0306)
151,tensor(0.0291)
152,tensor(0.0373)
153,tensor(0.0399)
154,tensor(0.0461)
155,tensor(0.0378)
156,tensor(0.0362)
157,tensor(0.0436)
158,tensor(0.0395)
159,tensor(0.0336)
160,tensor(0.0469)
161,tensor(0.0464)
162,tensor(0.0297)
163,tensor(0.0278)
164,tensor(0.0389)
165,tensor(0.0371)
166,tensor(0.0263)
167,tensor(0.0283)
168,tensor(0.0177)
169,tensor(0.0264)
170,tensor(0.0298)
171,tensor(0.0243)
172,tensor(0.0281)
173,tensor(0.0283)
174,tensor(0.0256)
175,tensor(0.0252)
176,tensor(0.0389)
177,tensor(0.0479)
178,tensor(0.0497)
179,tensor(0.0508)
180,tensor(0.0557)
181,tensor(0.0537)
182,tensor(0.0613)
183,tensor(0.0592)
184,tensor(0.0588)
185,tensor(0.0595)
186,tensor(0.0528)
187,tensor(0.0471)
188,tensor(0.0483)
189,tensor(0.0493)
190,tensor(0.0487)
191,tensor(0.0442)
192,tensor(0.0455)
193,tensor(0.0472)
194,tensor(0.0345)
195,tensor(0.0413)
196,tensor(0.0387)
197,tensor(0.0414)
198,tensor(0.0421)
199,tensor(0.0479)
200,tensor(0.0501)
201,tensor(0.0406)
202,tensor(0.0406)
203,tensor(0.0461)
204,tensor(0.0424)
205,tensor(0.0373)
206,tensor(0.0429)
207,tensor(0.0425)
208,tensor(0.0431)
209,tensor(0.0499)
210,tensor(0.0492)
211,tensor(0.0561)
212,tensor(0.0524)
213,tensor(0.0531)
214,tensor(0.0537)
215,tensor(0.0546)
216,tensor(0.0531)
217,tensor(0.0468)
218,tensor(0.0487)
219,tensor(0.0483)
220,tensor(0.0541)
221,tensor(0.0461)
222,tensor(0.0474)
223,tensor(0.0533)
224,tensor(0.0544)
225,tensor(0.0542)
226,tensor(0.0533)
227,tensor(0.0457)
228,tensor(0.0491)
229,tensor(0.0509)
230,tensor(0.0580)
231,tensor(0.0535)
232,tensor(0.0469)
233,tensor(0.0439)
234,tensor(0.0505)
235,tensor(0.0431)
236,tensor(0.0508)
237,tensor(0.0425)
