,obj_value
0,4.336242198944092
1,4.360363483428955
2,4.365593433380127
3,4.3847432136535645
4,4.4114179611206055
5,4.369246482849121
6,4.404165744781494
7,4.490962982177734
8,4.532142162322998
9,4.549986839294434
10,4.559509754180908
11,4.590066432952881
12,4.643265247344971
13,4.679044246673584
14,4.719057083129883
15,4.774814128875732
16,4.806140899658203
17,4.79172945022583
18,4.83270263671875
19,4.852045059204102
20,4.898985385894775
21,4.889797687530518
22,4.915006160736084
23,4.9380903244018555
24,4.908969879150391
25,4.914045333862305
26,4.904775619506836
27,4.916903972625732
28,4.916348934173584
29,4.897425651550293
30,4.932271480560303
31,4.9248881340026855
32,4.918686866760254
33,4.9446821212768555
34,4.941652297973633
35,4.923135757446289
36,4.934225082397461
37,4.938537120819092
38,4.938597679138184
39,4.899531364440918
40,4.894768714904785
41,4.9108567237854
42,4.946098327636719
43,4.999319076538086
44,4.992774963378906
45,4.981208801269531
46,4.973101615905762
47,4.981123447418213
48,5.020230293273926
49,5.011361598968506
50,5.030110836029053
51,5.0246734619140625
52,5.067680835723877
53,5.102426052093506
54,5.112320423126221
55,5.110453128814697
56,5.079965114593506
57,5.065848350524902
58,5.080150604248047
59,5.08523416519165
60,5.08535623550415
61,5.113253593444824
62,5.117919921875
63,5.1226487159729
64,5.131396293640137
65,5.160376071929932
66,5.180069923400879
67,5.208553791046143
68,5.205450057983398
69,5.183009147644043
70,5.206037521362305
71,5.198369026184082
72,5.2419915199279785
73,5.293521404266357
74,5.293889999389648
75,5.312259674072266
76,5.348647117614746
77,5.336925506591797
78,5.315300464630127
79,5.345779895782471
80,5.31105375289917
81,5.324300289154053
82,5.331783771514893
83,5.347367286682129
84,5.33485746383667
85,5.32012939453125
86,5.295253276824951
87,5.304245471954346
88,5.324073791503906
89,5.328904151916504
90,5.323614597320557
91,5.208743572235107
92,5.251806735992432
93,5.268723964691162
94,5.274752616882324
95,5.296444892883301
96,5.2847747802734375
97,5.276021957397461
98,5.297506809234619
99,5.247629165649414
100,5.272871017456055
101,5.289129257202148
102,5.374353408813477
103,5.401041030883789
104,5.394809246063232
105,5.398863315582275
106,5.406561851501465
107,5.379069805145264
108,5.372992515563965
109,5.3561506271362305
110,5.324915409088135
111,5.313586235046387
112,5.3229169845581055
113,5.342930316925049
114,5.337658405303955
115,5.329960823059082
116,5.327113151550293
117,5.312768936157227
118,5.346742630004883
119,5.352055549621582
120,5.351631164550781
121,5.353330135345459
122,5.349509239196777
123,5.4012885093688965
124,5.396503448486328
125,5.409599304199219
126,5.376307964324951
127,5.366094589233398
128,5.391265392303467
129,5.393556594848633
130,5.387688636779785
131,5.393404006958008
132,5.48753023147583
133,5.474512577056885
134,5.480490684509277
135,5.4893903732299805
136,5.478494644165039
137,5.450202465057373
138,5.4575114250183105
139,5.460051536560059
140,5.435965061187744
141,5.47921895980835
142,5.500802993774414
143,5.512423992156982
144,5.509076118469238
145,5.514013290405273
146,5.529358863830566
147,5.54451322555542
148,5.562598705291748
149,5.5031819343566895
150,5.491271018981934
151,5.484950065612793
152,5.495865345001221
153,5.504603385925293
154,5.5975494384765625
155,5.604546546936035
156,5.611286640167236
157,5.623712062835693
158,5.676658630371094
159,5.6750946044921875
160,5.6894354820251465
161,5.7097063064575195
162,5.693294525146484
163,5.550588607788086
164,5.573065757751465
165,5.5779900550842285
166,5.54940938949585
167,5.537095069885254
168,5.538437843322754
169,5.363982677459717
170,5.4380621910095215
171,5.394070625305176
172,5.396108150482178
173,5.408390998840332
174,5.443644046783447
175,5.438139915466309
176,5.457854270935059
177,5.475661277770996
178,5.5119452476501465
179,5.540246963500977
180,5.547847747802734
181,5.5821051597595215
182,5.600830554962158
183,5.588624954223633
184,5.585714340209961
185,5.585031032562256
186,5.55222749710083
187,5.513300895690918
188,5.492321014404297
189,5.500187873840332
190,5.488332748413086
191,5.508483409881592
192,5.516495227813721
193,5.416034698486328
194,5.402177333831787
195,5.49572229385376
196,5.40180778503418
197,5.396102428436279
198,5.3524580001831055
199,5.347384452819824
200,5.3935699462890625
201,5.377330780029297
202,5.431675434112549
203,5.42490816116333
204,5.448305130004883
205,5.4610700607299805
206,5.46172571182251
207,5.469220161437988
208,5.464167594909668
209,5.487227439880371
210,5.493258953094482
211,5.451699733734131
212,5.459983825683594
213,5.486485481262207
214,5.494818687438965
215,5.539223670959473
216,5.536996841430664
217,5.564197540283203
218,5.554812908172607
219,5.5418243408203125
220,5.53277063369751
221,5.501537322998047
222,5.511892795562744
223,5.5002665519714355
224,5.501615524291992
225,5.505311965942383
226,5.508849143981934
227,5.523521900177002
228,5.5784783363342285
229,5.575526237487793
230,5.58057975769043
231,5.595209121704102
232,5.594395160675049
233,5.645467758178711
234,5.6503214836120605
235,5.653268337249756
236,5.648130893707275
237,5.666128158569336
238,5.651639938354492
239,5.658660411834717
240,5.6486287117004395
241,5.656803131103516
242,5.652313709259033
243,5.647811412811279
244,5.669787883758545
245,5.675176620483398
246,5.682101726531982
247,5.6954345703125
248,5.689360618591309
249,5.692302703857422
250,5.694168567657471
251,5.694103240966797
252,5.697779178619385
253,5.70215368270874
254,5.704266548156738
255,5.7040486335754395
256,5.714205265045166
257,5.76076078414917
258,5.764208793640137
259,5.775667667388916
260,5.77016544342041
261,5.7976765632629395
262,5.795734405517578
263,5.795357704162598
264,5.7828521728515625
265,5.783534049987793
266,5.797428131103516
267,5.799825668334961
268,5.804035186767578
269,5.802321434020996
270,5.790401458740234
271,5.790178298950195
272,5.854339599609375
273,5.829427242279053
274,5.837471008300781
275,5.876962184906006
276,5.835746765136719
277,5.839887619018555
278,5.815701484680176
279,5.813979625701904
280,5.813044548034668
281,5.738560676574707
282,5.743856906890869
283,5.738562107086182
284,5.740280628204346
285,5.739108085632324
286,5.741279125213623
287,5.730071067810059
288,5.732106685638428
289,5.728538513183594
290,5.7336344718933105
291,5.732926845550537
292,5.731871128082275
293,5.7264404296875
294,5.721741199493408
295,5.7270331382751465
296,5.727639198303223
297,5.724422454833984
298,5.721232891082764
299,5.731125831604004
300,5.73155403137207
301,5.727477550506592
302,5.704469680786133
303,5.704555034637451
304,5.703222751617432
305,5.704638481140137
306,5.690491676330566
307,5.665056228637695
308,5.661875247955322
309,5.657630443572998
310,5.660133361816406
311,5.6609063148498535
312,5.662032604217529
313,5.663267612457275
314,5.664412498474121
315,5.66497278213501
316,5.650534629821777
317,5.641291618347168
318,5.642550468444824
319,5.64212703704834
320,5.651668548583984
321,5.652941703796387
322,5.654060363769531
323,5.652484893798828
324,5.654742240905762
325,5.648820877075195
326,5.649167060852051
327,5.651237964630127
328,5.6513800621032715
329,5.6505351066589355
330,5.6526689529418945
331,5.6510186195373535
332,5.651400566101074
333,5.650512218475342
334,5.651909351348877
335,5.650210380554199
336,5.649656295776367
337,5.648494720458984
338,5.64932918548584
339,5.64973258972168
340,5.646508693695068
341,5.64481782913208
