,obj_value,,
0,4.330082893,,rou=7
1,4.3329916,,
2,4.337799549,,
3,4.33977747,,
4,4.341797352,,
5,4.346457481,,
6,4.34764576,,
7,4.349047661,,
8,4.351744652,,
9,4.353372574,,
10,4.354168892,,
11,4.357145786,,
12,4.360648155,,
13,4.362713814,,
14,4.364211082,,
15,4.364258766,,
16,4.364957333,,
17,4.367135048,,
18,4.369312763,,
19,4.371637344,,
20,4.373240471,,
21,4.375951767,,
22,4.378430367,,
23,4.376444817,,
24,4.379328251,,
25,4.383950233,,
26,4.385169029,,
27,4.38514185,,
28,4.390602112,,
29,4.392566681,,
30,4.394784451,,
31,4.398767471,,
32,4.401261806,,
33,4.404322624,,
34,4.405046463,,
35,4.406846046,,
36,4.412591934,,
37,4.413317204,,
38,4.413965702,,
39,4.414867878,,
40,4.415374279,,
41,4.416044235,,
42,4.420439243,,
43,4.424603462,,
44,4.43212986,,
45,4.433759689,,
46,4.435591698,,
47,4.436998844,,
48,4.438384533,,
49,4.441482544,,
50,4.441932201,,
51,4.442854881,,
52,4.445074081,,
53,4.445542812,,
54,4.453099728,,
55,4.457030773,,
56,4.458757877,,
57,4.460577965,,
58,4.459722996,,
59,4.460236549,,
60,4.465638161,,
61,4.467128754,,
62,4.468361378,,
63,4.470528126,,
64,4.472456455,,
65,4.474875927,,
66,4.478081703,,
67,4.479150772,,
68,4.481194496,,
69,4.482102871,,
70,4.483647823,,
71,4.484777451,,
72,4.486210823,,
73,4.487976551,,
74,4.490285397,,
75,4.491934299,,
76,4.49745369,,
77,4.498057365,,
78,4.499866962,,
79,4.502693653,,
80,4.505757332,,
81,4.509647369,,
82,4.515345097,,
83,4.516638756,,
84,4.521237373,,
85,4.521508217,,
86,4.522992611,,
87,4.524623394,,
88,4.529586315,,
89,4.531190872,,
90,4.532182693,,
91,4.538683891,,
92,4.537576199,,
93,4.540520668,,
94,4.545627117,,
95,4.546918392,,
96,4.548148155,,
97,4.548077583,,
98,4.552786827,,
99,4.553842545,,
100,4.555659771,,
101,4.555288792,,
102,4.558241844,,
103,4.559678078,,
104,4.561510086,,
105,4.56459713,,
106,4.566048145,,
107,4.571564198,,
108,4.573225975,,
109,4.572932243,,
110,4.574159622,,
111,4.574984074,,
112,4.577092648,,
113,4.578367233,,
114,4.578927517,,
